#ëÂóeó ó‚ë†å…
545, 108000
501, 188000
608, 348000
615, 336000
608, 318000
601, 312800
670, 309800
555, 305000
670, 302400
612, 298000
556, 288000
505, 288000
501, 275500
620, 268000
565, 268000
555, 268000
505, 265000
620, 264800
605, 257500
525, 257500
501, 253300
565, 248000
510, 248000
501, 230700
525, 228000
510, 228000
517, 214400
618, 198000
612, 193500
501, 188000
545, 108000
#íÜå^ó‚ë†å…
472, 276000
495, 250600
455, 248000
470, 247900
472, 245000
475, 232700
481, 229800
475, 218700
475, 218600
465, 213800
481, 178000
465, 158800
415, 243100
426, 238000
415, 225800
440, 205900
440, 202000
426, 202000
441, 200400
426, 193300
420, 168000
400, 138000
445, 69800
#è¨å^ó‚ë†å…
350, 118000
321, 115200
365, 113600
370, 109800
365, 108000
321, 103800
335, 97000
314, 94400
302, 92200
340, 79800
355, 76900
375, 74800
300, 69500
350, 69000
355, 58000
305, 53500
265, 84400
262, 83400
256, 79800
264, 79000
265, 68900
270, 67800
225, 66400
270, 59800
264, 59800
256, 54800
225, 53700
275, 48500
230, 39800
232, 38600
#å¬êlópó‚ë†å…
168, 64800
168, 56100
168, 52900
138, 52800
137, 47800
146, 45800
168, 39800
109, 37800
140, 34800
138, 33800
138, 26400
106, 25800
118, 21700
75, 15800
75, 16100
